GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
CK calculator,com.github.mauricioaniche.ck.util,FileUtils,25,137,1,7,9,22,3,18,2,15
CK calculator,com.github.mauricioaniche.ck.util,WordCounter,3,207,0,18,1,50,1,17,1,8
CK calculator,com.github.mauricioaniche.ck.util,DependencySorter,0,188,0,10,0,24,0,19,0,14
CK calculator,com.github.mauricioaniche.ck.util,LOCCalculator,47,211,16,40,16,57,13,22,1,6
CK calculator,com.github.mauricioaniche.ck.util,JDTUtils,27,288,8,36,4,59,9,29,1,15
CK calculator,com.github.mauricioaniche.ck.util,WordCounter.new HashSet() {...},0,207,0,0,0,53,0,1,0,1
CK calculator,com.github.mauricioaniche.ck.util,MetricsFinder,35,129,3,9,8,31,2,12,0,8
CK calculator,com.github.mauricioaniche.ck.metric,DIT,0,43,1,5,0,14,1,6,0,4
CK calculator,com.github.mauricioaniche.ck.metric,Coupling,88,474,17,95,25,150,21,68,5,28
CK calculator,com.github.mauricioaniche.ck.metric,NumberOfReturns,0,23,0,0,0,8,0,4,0,4
CK calculator,com.github.mauricioaniche.ck.metric,WMC.new HashSet() {...},0,30,0,0,0,7,0,1,0,1
CK calculator,com.github.mauricioaniche.ck.metric,NumberOfMathOperators,0,69,0,2,0,10,0,6,0,5
CK calculator,com.github.mauricioaniche.ck.metric,NOCExtras,0,65,0,8,0,17,0,9,0,5
CK calculator,com.github.mauricioaniche.ck.metric,RFC,0,42,0,0,0,13,0,5,0,5
CK calculator,com.github.mauricioaniche.ck.metric,ClassLevelWordCounter,0,49,0,2,0,16,0,7,0,6
CK calculator,com.github.mauricioaniche.ck.metric,VariableOrParameterUsageCount,0,70,0,4,0,16,0,7,0,5
CK calculator,com.github.mauricioaniche.ck.metric,NumberOfMethods,0,140,0,14,0,35,0,10,0,3
CK calculator,com.github.mauricioaniche.ck.metric,NOSI,0,27,0,4,0,8,0,5,0,3
CK calculator,com.github.mauricioaniche.ck.metric,TightClassCohesion,0,380,0,32,0,69,0,25,0,9
CK calculator,com.github.mauricioaniche.ck.metric,NumberOfNumbers,0,23,0,0,0,8,0,4,0,4
CK calculator,com.github.mauricioaniche.ck.metric,MethodLevelMetric,0,1,0,0,0,1,0,1,0,1
